iter	Passed	Remaining
670	17062	8366
671	17090	8341
672	17116	8316
673	17141	8291
674	17165	8264
675	17188	8238
676	17210	8211
677	17234	8185
678	17256	8158
679	17279	8131
680	17300	8103
681	17321	8076
682	17347	8051
683	17371	8025
684	17395	7999
685	17422	7974
686	17445	7948
687	17461	7918
688	17488	7893
689	17515	7869
690	17542	7844
691	17567	7819
692	17592	7793
693	17616	7767
694	17643	7742
695	17672	7718
696	17698	7693
697	17722	7667
698	17749	7643
699	17773	7617
700	17798	7591
701	17822	7565
702	17845	7539
703	17864	7511
704	17889	7485
705	17913	7459
706	17937	7433
707	17963	7408
708	17988	7383
709	18015	7358
710	18039	7332
711	18062	7306
712	18088	7280
713	18115	7256
714	18152	7235
715	18187	7214
716	18226	7194
717	18252	7168
718	18279	7143
719	18303	7118
720	18332	7093
721	18359	7069
722	18383	7043
723	18407	7017
724	18434	6992
725	18461	6967
726	18488	6942
727	18512	6916
728	18535	6890
729	18558	6864
730	18584	6838
731	18610	6813
732	18650	6793
733	18678	6769
734	18710	6745
735	18735	6720
736	18760	6694
737	18785	6669
738	18811	6643
739	18839	6619
740	18868	6595
741	18894	6569
742	18922	6545
743	18948	6519
744	18973	6494
745	18997	6468
746	19023	6442
747	19043	6415
748	19065	6389
749	19091	6363
750	19117	6338
751	19142	6312
752	19166	6287
753	19189	6260
754	19214	6235
755	19238	6209
756	19262	6183
757	19298	6161
758	19334	6139
759	19366	6115
760	19396	6091
761	19422	6066
762	19455	6043
763	19483	6018
764	19509	5993
765	19536	5968
766	19559	5941
767	19583	5915
768	19608	5890
769	19635	5865
770	19666	5841
771	19696	5817
772	19721	5791
773	19746	5765
774	19770	5739
775	19798	5714
776	19822	5689
777	19846	5663
778	19871	5637
779	19894	5611
780	19919	5585
781	19946	5560
782	19969	5534
783	19993	5508
784	20015	5481
785	20038	5455
786	20062	5429
787	20084	5403
788	20108	5377
789	20133	5351
790	20158	5326
791	20181	5300
792	20206	5274
793	20231	5249
794	20254	5222
795	20276	5196
796	20301	5170
797	20327	5145
798	20364	5123
799	20389	5097
800	20414	5071
801	20439	5046
802	20463	5020
803	20486	4994
804	20509	4968
805	20529	4941
806	20555	4916
807	20582	4890
808	20610	4865
809	20632	4839
